Blank1,Description,Extended Description,Blank2,Item Number,Blank3,Standard Price,List Price,Major category,Minor Category,Weight,Available Quantity,Date Established,PO Date,AvG Lead Time,Image ,Drop Ship Status,Active,Product Length ,Product Width,Product Height,Shipping Length ,Shipping Width ,Shipping Height,Item Weight,Item Net Weight,UPC Code,HCPC Code,MAP Price,Country Of Origin,Product Group (item),Plus Freight,Images,Images,Images,Images,Images,Images,Images,Images,Images,Images
,Mounting Bracket for Scooter,The Golden Scooter Accessory Mounting Bracket with Bolts is needed to attach a few of Golden's accessories to their mobility power scooters * This mounting bracket comes standard on the Companion  Buzzaround  Buzzaround Lite  and Avenger scooters,,ACCMBTTS,,35.85,65.19,Mobility Products,Scooter Accessories/Parts,0.000,0,04/20/2004,12/31/2099,8,accmbtts.jpg,O,Y,0,0,0,0,0,0,0,0,,,,,,N,,https://interlink.completemedical.com/usrimage/accmbtts.jpg,,,,,,,,
,Mirror(Rear-View) for Scooters,Rear view mirror that can be used with most scooters,,ACCMIR04,,37.24,67.69,Mobility Products,Scooter Accessories/Parts,0.000,0,04/14/2004,12/31/2099,8,accmir04.jpg,O,Y,0,0,0,0,0,0,0,0,,ACCMIR666C,N,,,Y,,https://interlink.completemedical.com/usrimage/accmir04.jpg,,,,,,,,
,Oxygen Tank Holder for Golden Power Chair,This oxygen tank holder is easy to install and mounts to the back of your seat * It accepts D and E sized tanks * All you have to do it slide the tank into the holder  hand tighten the set screw  and you're ready to go * Works with all Golden Tech scooters * Simply select the appropriate scooter type to ensure the correct hardware is recieved * Oxygen Tank Holder for Golden Power Chair: *Fits on the universal mounting bracket on the back of the scooter * Can be used on the Companions  Buzzaround  Buzzaround Lite and Avenger,,ACCOTH02,,112.51,204.58,Mobility Products,Scooter Accessories/Parts,0.000,0,02/24/2006,12/31/2099,8,accoth02.jpg,O,Y,0,0,0,0,0,0,0,0,,,N,,,Y,,https://interlink.completemedical.com/usrimage/accoth02.jpg,,,,,,,,
,Quad Cane Holder for Companion Scooter,Shipping Carton Size: 34 L x 6 W x 4 H,,ACCQCH01,,74.97,136.31,Mobility Products,Scooter Accessories/Parts,0.600,0,07/30/2004,12/31/2099,8,accqch01.jpg,O,Y,0,0,0,0,0,0,.6,.6,,,N,,,Y,,https://interlink.completemedical.com/usrimage/accqch01.jpg,,,,,,,,
,Medicut Shears  Blue  7-1/4,RETAIL PACKAGING * Blue 7 1/4  * Razor sharp  super-hardened surgical stainless steel blades with one serrated edge to cut through the toughest materials * Blades tempered to a Rockwell hardness of C56 for unsurpassed durability * Contoured polypropylene handles with large ring provide maximum control and comfort * Extra large rivet with a rated strength of 88kg assures rugged durability * Fully auto-clavable to 143øC (290øF) * Inspected and packaged in the U.S.A. *,,ADC320B,,6.06,11.01,Wound Care,Bandage Scissors,0.000,2,03/19/2008,12/31/2099,7,ADC320B.jpg,N,Y,0,0,0,0,0,0,0,0,634782001278,,,,,N,,https://interlink.completemedical.com/usrimage/ADC320B.jpg,,,,,,,,
,Medicut Shears  Black  7-1/4,RETAIL PACKAGING * Black  7 1/4  *Razor sharp  super-hardened surgical stainless steel blades with one serrated edge to cut through the toughest materials * Blades tempered to a Rockwell hardness of C56 for unsurpassed durability * Contoured polypropylene handles with large ring provide maximum control and comfort * Extra large rivet with a rated strength of 88kg assures rugged durability * Fully auto-clavable to 143øC (290øF) * Inspected and packaged in the U.S.A. *,,ADC320BK,,6.38,11.59,Wound Care,Bandage Scissors,0.000,0,03/19/2008,12/31/2099,8,ADC320BK.jpg,N,Y,0,0,0,0,0,0,0,0,634782001292,,,,,N,,https://interlink.completemedical.com/usrimage/ADC320BK.jpg,,,,,,,,
,Medicut Shears  Dark Green 7-1/4,RETAIL PACKAGING * Dark Green  7 1/4  * Razor sharp  super-hardened surgical stainless steel blades with one serrated edge to cut through the toughest materials * Blades tempered to a Rockwell hardness of C56 for unsurpassed durability * Contoured polypropylene handles with large ring provide maximum control and comfort * Extra large rivet with a rated strength of 88kg assures rugged durability * Fully auto-clavable to 143øC (290øF) * Inspected and packaged in the U.S.A. *,,ADC320DG,,5.86,10.66,Wound Care,Bandage Scissors,0.000,0,03/19/2008,12/31/2099,6,ADC320DG.jpg,N,Y,0,0,0,0,0,0,0,0,634782022921,,,,,N,,https://interlink.completemedical.com/usrimage/ADC320DG.jpg,,,,,,,,
,Medicut Shears Neon Orange 7-1/4,RETAIL PACKAGING * Neon Orange 7 1/4  * Razor sharp  super-hardened surgical stainless steel blades with one serrated edge to cut through the toughest materials * Blades tempered to a Rockwell hardness of C56 for unsurpassed durability * Contoured polypropylene handles with large ring provide maximum control and comfort * Extra large rivet with a rated strength of 88kg assures rugged durability * Fully auto-clavable to 143øC (290øF) * Inspected and packaged in the U.S.A. *,,ADC320NO,,6.29,11.45,Wound Care,Bandage Scissors,0.000,0,03/19/2008,12/31/2099,10,ADC320NO.jpg,N,Y,0,0,0,0,0,0,0,0,634782001322,,,,,N,,https://interlink.completemedical.com/usrimage/ADC320NO.jpg,,,,,,,,
,Medicut Shears  Neon Pink  7-1/4,RETAIL PACKAGING * Neon Yellow 7 1/4  * Razor sharp  super-hardened surgical stainless steel blades with one serrated edge to cut through the toughest materials * Blades tempered to a Rockwell hardness of C56 for unsurpassed durability * Contoured polypropylene handles with large ring provide maximum control and comfort * Extra large rivet with a rated strength of 88kg assures rugged durability * Fully auto-clavable to 143øC (290øF) * Inspected and packaged in the U.S.A. *,,ADC320NP,,6.13,11.14,Wound Care,Bandage Scissors,0.000,3,03/19/2008,12/31/2099,6,ADC320NP.jpg,N,Y,0,0,0,0,0,0,0,0,634782001339,,,,,N,,https://interlink.completemedical.com/usrimage/ADC320NP.jpg,,,,,,,,
,Medicut Shears  Red  7-1/4,RETAIL PACKAGING * Red 7 1/4  * Razor sharp  super-hardened surgical stainless steel blades with one serrated edge to cut through the toughest materials * Blades tempered to a Rockwell hardness of C56 for unsurpassed durability * Contoured polypropylene handles with large ring provide maximum control and comfort * Extra large rivet with a rated strength of 88kg assures rugged durability * Fully auto-clavable to 143øC (290øF) * Inspected and packaged in the U.S.A. *,,ADC320R,,6.10,11.09,Wound Care,Bandage Scissors,0.000,0,03/19/2008,12/31/2099,11,ADC320R.jpg,N,Y,0,0,0,0,0,0,0,0,634782001353,,,,,N,,https://interlink.completemedical.com/usrimage/ADC320R.jpg,,,,,,,,
,Medicut Shears  Purple  7-1/4,RETAIL PACKAGING * Purple 7 1/4  * Razor sharp  super-hardened surgical stainless steel blades with one serrated edge to cut through the toughest materials * Blades tempered to a Rockwell hardness of C56 for unsurpassed durability * Contoured polypropylene handles with large ring provide maximum control and comfort * Extra large rivet with a rated strength of 88kg assures rugged durability * Fully auto-clavable to 143øC (290øF) * Inspected and packaged in the U.S.A. *,,ADC320V,,6.29,11.45,Wound Care,Bandage Scissors,0.000,1,03/19/2008,12/31/2099,13,ADC320V.jpg,N,Y,0,0,0,0,0,0,0,0,634782001384,,,,,N,,https://interlink.completemedical.com/usrimage/ADC320V.jpg,,,,,,,,
,Penlight METALITE Reuseable,Aluminum housing * LED lamp for bright white illumination * Locking push toggle activated * Measures 5 3/4  long by 1/2  diameter *  Two AAA batteries included * Standard orders ship in polybag,,ADC352,,3.87,7.02,Diagnostics,Penlights,0.000,8,03/19/2008,12/31/2099,6,adc352.jpg,N,Y,0,0,0,0,0,0,0,0,634782001742,,,,,N,,https://interlink.completemedical.com/usrimage/adc352.jpg,,,,,,,,
,Penlight METALITE Reusable Retail Packaging,Brushed aluminum housing * Pocket clip activated * Measures 6  long by 1/2  diameter * Two  AAA  batteries included *,,ADC352Q,,4.90,8.87,Diagnostics,Penlights,0.000,14,04/04/2012,12/31/2099,4,adc352q.jpg,N,Y,0,0,0,0,0,0,0,0,634782021023,,,,,N,,https://interlink.completemedical.com/usrimage/adc352q.jpg,,,,,,,,
,Metalite Reusable Penlight White w/ Pupil Gauge  each,Aluminum housing * Locking push toggle activated * Measures        5-1/4  long by 1/2  diameter * White barrel with pupil gauge * Two  AAA  batteries included,,ADC352WP,,5.26,9.57,Diagnostics,Penlights,0.000,24,01/03/2017,12/31/2099,6,ADC352WP.jpg,N,Y,0,0,0,0,0,0,0,0,634782061807,,,,,N,,https://interlink.completemedical.com/usrimage/ADC352WP.jpg,,,,,,,,
,Adsafe CPR Face Shield Plus w/Mouthpc & 1-Way Valve Orange,Plus - Includes Mouth Piece & Filtered 1-Way Valve,,ADC4056,,5.04,9.18,Emergency & First Aid Products,CPR Barrier Masks,0.000,0,05/26/2009,12/31/2099,7,ADC4056.jpg,N,Y,0,0,0,0,0,0,0,0,634782055325,,,,,N,,https://interlink.completemedical.com/usrimage/ADC4056.jpg,,,,,,,,
,Adtemp Temple Touch Thermometer,Non-invasive forehead temperature measurement using patented conductive technology delivers clinically accurate readings in about 6 seconds * Reduces the risk of cross contamination and avoids the need for costly probe covers * Ideal for the hospital  clinic  or physician's office * Auto off function conserves battery life * Audible tone when measurement is complete * Last reading memory * Dual Scale (øF/øC) * Water Resistant * Large display * Uses 2 AAA batteries (included) (good for a minimum of 1000 full duty cycles over 24 month period) * Temp range 95øF to 107.6øF +/- .2øF (35øC to 42øC +/- .1øC) * Compact design measures just 4.7  x 1.17  x 1  (12.0 cm x 3.0 cm x 2.4 cm ) & weighs 1.3oz (37g) including batteries *,,ADC427,,15.61,28.38,Physician Supplies,Thermometers/Probe Covers,0.000,0,01/09/2013,12/31/2099,6,ADC427.jpg,N,Y,0,0,0,0,0,0,0,0,634782063245,,,,,N,,https://interlink.completemedical.com/usrimage/ADC427.jpg,,,,,,,,
,Advantage Digital BP Adult Semi-Automatic by ADC,Compact and easy-to-use semi-automatic upper arm digital home blood pressure monitor * Measures systolic  diastolic pressure  and pulse * Manual inflation *  Self adjusting adult latex-free D-Bar cuff fits arm ranges from 8.7 to 12.6  (22 cm to 32 cm) * Automatic deflation valve * Last reading memory * Auto off * Not made with natural rubber latex * 4  AA  batteries included * Meets or exceeds EN 1060-1  and EN 1060-3 * 5 Year Warranty,,ADC6012N,,34.49,62.69,Blood Pressure,Auto-Inflate Digital B.P units,0.000,1,07/07/2020,12/31/2099,6,ADC6012N.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,ADC6012N.jpg,https://interlink.completemedical.com/usrimage/ADC6012N.jpg,,,,,,,,
,Advantage Wrist Digital Blood Pressure Monitor  Navy  Adult,Smart logic technology and an advanced memory * Measures systolic  diastolic pressure  and pulse * British Hypertension Society (BHS) AA rating ensures unrivaled accuracy * Smart Logic Technology determines ideal inflation level * Recalls last 99 readings for two users * Wrist cuff fits 5.3  to 7.7  wrists * Auto off * Not made with natural rubber latex * 2 AAA batteries included * Compact storage caseMeets or exceeds EN 1060-1  and EN 1060-3 * 5 year warranty * Cuff range 5.3 -7.7  (13.5-19.5cm) * Display: LCD * Measuring method: Oscillometric * Pressure sensor: Capacitive * Systolic/Diastolic range: 30-280 mmHg * Pulse range: 40-200bpm * Cuff pressure display range: * 0-299 mmHg * Memory: Last 99  * Readings x2 * Measuring resolution: 1mmHg * Pressure accuracy: ñ3mmHg * Power source: 2-AAA Alkaline batteries * Storage temperature: -4øF - +131øF (-20øC - +55øC) * Operating temperature: 50øF-104øF (10øC-40øC) * Humidity: 15-95% * Dimensions: 3.75 x4.25 x4.25  (85x77x75mm) * Weight: 0.35lb (148g) *,,ADC6015N,,46.22,84.02,Blood Pressure,Wrist Digital Blood Pressure,0.350,0,02/17/2016,12/31/2099,5,\ADC6015N.jpg,N,Y,4,4,4,0,0,0,.35,0,634782074338,,,,,N,,https://interlink.completemedical.com/usrimage/\ADC6015N.jpg,,,,,,,,
,Adscope  Adult Acoustic Scope Black,Combination adult size chestpiece precisely machined to exacting tolerances from surgical stainless steel for outstanding performance and rugged durability * Extra large bell (13/8  diameter) for unsurpassed low frequency response * Ultra-sensitive diaphragm (17/8  diameter) for greater amplification and crisper high frequency response * Color coordinated non-chill bell and diaphragm retaining rim for patient comfort * Stainless steel binaurals with double leaf internal spring fixed at 15§ angle for greater comfort * Reinforcing yoke molded into flexible 22  PVC  Y  tubing * Adsoft deluxe PVC eartips (in small and large) for the ultimate in wearing comfort and acoustic seal * Spare diaphragm included * Scope ID Tag included * Weighs 6.5 oz. * Overall length 31  * Lifetime Warranty *,,ADC603BK,,57.18,103.97,Stethoscopes,Dual Head Stethoscopes,0.000,1,03/20/2008,12/31/2099,4,adc603bk.jpg,N,Y,0,0,0,0,0,0,0,0,634782003753,,,,,N,,https://interlink.completemedical.com/usrimage/adc603bk.jpg,,,,,,,,
,Proscope  24   Black Sprague Stethoscope,Threaded chestpiece drum of chrome plated zinc permits the use of five interchangeable chestpiece fittings - an adult and pediatric diaphragm  and three bells (11/4   1   3/4 ) - for complete diagnostic capability in most patients * Latex-free  double tube configuration * Proprietary valve mechanism eliminates acoustic leakage * Adjustable aluminum binaurals * Complete with an accessory pouch containing the bell chestpieces  chestpiece key  2 spare diaphragms  and one pair of silicon eartips * Inspected and packaged in the U.S.A. * Traditional 16  double tube configuration * Weighs 7 oz. * Overall length 24  * One Year Warranty *,,ADC640BK,,19.01,34.56,Stethoscopes,Sprague-Rappaport Stethoscopes,0.000,6,05/17/2024,12/31/2099,5,,N,Y,0,0,0,0,0,0,0,0,634782004705,,,,,N,,,,,,,,,,
,Adscope  30   Black Sprague Stethoscope,Threaded chestpiece drum of chrome plated zinc permits the use of five interchangeable chestpiece fittings - an adult and pediatric diaphragm  and three bells (11/4   1   3/4 ) - for complete diagnostic capability in most patients * Latex-free  double tube configuration * Proprietary valve mechanism eliminates acoustic leakage * Adjustable chrome-plated brass binaurals * Complete with an accessory pouch containing the bell chestpieces  chestpiece key  2 spare diaphragms  one pair of mushroom eartips  and one pair of silicon eartips * Inspected and packaged in the U.S.A. * Weighs 8 oz. * Overall length 30  * 5 Year Warranty,,ADC641BK,,19.84,36.06,Stethoscopes,Sprague-Rappaport Stethoscopes,0.000,0,03/19/2008,12/31/2099,5,adc641bk.jpg,N,Y,0,0,0,0,0,0,0,0,634782004996,,,,,N,,https://interlink.completemedical.com/usrimage/adc641bk.jpg,,,,,,,,
,ADC Stethoscope ID Tags Black  Premium,Color: Black. * Durable polypropylene construction * Locks onto the tubing of all ADC brand and virtually any other brand of stethoscopes and blood pressure instruments * Front of tag has room for personalization *,,ADC697BK,,3.97,7.24,Stethoscopes,Stethoscope Parts& Accessories,0.000,1,03/20/2008,12/31/2099,7,adc697bk.jpg,N,Y,0,0,0,0,0,0,0,0,634782054359,,,,,N,,https://interlink.completemedical.com/usrimage/adc697bk.jpg,,,,,,,,
,Diagnostix Palm Model One-Handed Blood Pressure,Cuff size: Adult * Cuff Range: 23-40cm * A versatile palm style aneroid sphygmomanometer boasting precision crafted performance and rugged durability *     Revolutionary palm style manometer with integral bulb NOT made with natural rubber latex and trigger style air release valve for one-hand convenience * Precision crafted 300mmHg Japanese engineered movement tested to 50 000 cycles * Movement housed in a zinc cage that suspends within the polymer housing for enhanced shock resistance * Ambidextrous infinite control trigger release air valve * Adcuff nylon cuff with ADC?s proprietary Size Guide marking system  prevents mis-cuffing * Quick release luer slip connector * Complete with leatherette carrying case with self repairing nylon zipper * Assembled  inspected  and packaged in the U.S.A. from foreign components * Meets or exceeds ANSI/AAMI/ISO 81060-1 * Gauge Warranty: Lifetime * Inflation Warranty: 3 Year *,,ADC703,,87.06,158.29,Blood Pressure,Aneroid Blood Pressure,0.000,0,05/29/2009,12/31/2099,9,adc703.jpg,N,Y,9,7,5,0,0,0,0,0,,,N,,,N,,https://interlink.completemedical.com/usrimage/adc703.jpg,,,,,,,,
,PROSPHYG  Adult  Black,Contemporary black enamel 300mmHg no-pin stop manometer  provides day-in  day-out dependability * Adcuff nylon cuff with ADCÊs proprietary Size Guide marking system  prevents mis-cuffing * Dip molded latex inflation bladder withstands heavy use * Chrome-plated brass air release valve * Leatherette carrying case with durable nylon zipper * Assembled  inspected  and packaged in the U.S.A. from foreign components *,,ADC760,,39.20,71.28,Blood Pressure,Aneroid Blood Pressure,0.000,0,03/19/2008,12/31/2099,6,adc760.jpg,N,Y,0,0,0,0,0,0,0,0,634782066666,,,,,N,,https://interlink.completemedical.com/usrimage/adc760.jpg,,,,,,,,
,Pocket Aneroid  Sprague Kit Adult  Black,Professional kit that combines our best selling 768 series pocket aneroid with our Adscope Sprague in a color coordinated premium nylon carry case * Pro's Combo II Sprague 768-641 series includes:   * Combines ADC's ProsphygTM 768 with an AdscopeTM Sprague 641 and deluxe carry case.  * Contemporary black enamel 300mmHg manometer.  * Adcuff calibrated nylon cuff with proprietary Size Guide marking system prevents mis-cuffing.  * Chrome-plated deflation valve.  * Complete aneroid  matching case  and color-matched Sprague stethoscope.  * Extra large  color-matched  dual pocket carry case  measures 9  x 5 x 2   * Not made with natural rubber latex.  * Assembled  inspected  and packaged in the U.S.A. from foreign components.  * Meets or exceeds ANSI/AAMI/ISO 81060-1  * Gauge Warranty: 20 Years.  * Inflation Warranty: 3 Years.  * 2 Tubes.  * Cuff Size: Adult   * Color: Black,,ADC768BK,,51.23,93.16,Blood Pressure,Comb. BP/Steth Sets,0.000,0,03/21/2016,12/31/2099,5,ADC768BK.jpg,N,Y,0,0,0,0,0,0,0,0,634782067175,,,,,N,,https://interlink.completemedical.com/usrimage/ADC768BK.jpg,,,,,,,,
,Adapter for the 553KL Pediatric Digital Scale,110-240V Power Source for use with 553KL  1100KL  2000KL  2101KL  2400KL  2500KL  2595KL  2600KL  2610KL  2650KL  2700KL,,ADPT30,,80.69,146.69,Physician Supplies,Scales - Bathroom,0.000,0,06/10/2010,12/31/2099,7,adpt30.jpg,O,Y,0,0,0,0,0,0,0,0,,,,,,N,,https://interlink.completemedical.com/usrimage/adpt30.jpg,,,,,,,,
,AC Adaptor for #349KLX Scale,120V Power Adapter for 349KLX,,ADPT40,,50.41,91.66,Scales,Scale Accessories,0.000,0,05/21/2009,12/31/2099,3,adpt40.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,https://interlink.completemedical.com/usrimage/adpt40.jpg,,,,,,,,
,Universal Cervical Collar 18 L x 2.5 H,Styled to give uniform support * Medium-firm density foam covered with tubular knit fabric * Velcro closure * Designed to help with whiplash  herniated cervical discs and other minor neck injuries *  Suggested HCPC: L0120,,ADV2000,,10.20,18.54,Orthopedic Care,Cervical Collars,0.000,0,02/02/2023,01/24/2025,5,ADV2000.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,ADV2000.jpg,https://interlink.completemedical.com/usrimage/ADV2000.jpg,,,,,,,,
,Universal Cervical Collar 18.5 L x 3 H,Styled to give uniform support * Medium-firm density foam covered with tubular knit fabric * Velcro closure * Designed to help with whiplash  herniated cervical discs and other minor neck injuries *  Suggested HCPC: L0120,,ADV2030,,10.20,18.54,Orthopedic Care,Cervical Collars,0.000,0,02/02/2023,01/24/2025,6,ADV2030.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,ADV2030.jpg,https://interlink.completemedical.com/usrimage/ADV2030.jpg,,,,,,,,
,Universal Cervical Collar 21.5 L x 3.5 H,Styled to give uniform support * Medium-firm density foam covered with tubular knit fabric * Velcro closure * Designed to help with whiplash  herniated cervical discs and other minor neck injuries *  Suggested HCPC: L0120,,ADV2035,,10.20,18.54,Orthopedic Care,Cervical Collars,0.000,0,02/02/2023,01/24/2025,6,ADV2035.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,ADV2035.jpg,https://interlink.completemedical.com/usrimage/ADV2035.jpg,,,,,,,,
,Wrist Wrap Support  Neoprene,Neoprene coated with 4-way stretch nylon fabric * Provides compression and warmth to wrist area * Hook and loop closure for easy adjustment * Fits either left or right wrist *,,ADV21001,,12.80,23.25,Orthopedic Care,Wrist Braces & Supports,0.000,0,10/03/2024,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Wrist/Thumb Wrap Support Neoprene,Neoprene coated with 4-way stretch nylon fabric * Provides compression and warmth to wrist/thumb area * Extended thumb provides abduction * Velcro closure for easy adjustment * Fits either left or right wrist/thumb *,,ADV21002,,15.65,28.45,Orthopedic Care,Thumb Braces &  Supports,0.000,0,10/03/2024,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Thumb Brace  Premium,Perforated suede thumb splint provides thumb immobilization and protection * Constructed of lightweight  breathable  padded material for maximum comfort and wear * Perforated to allow moisture to escape the skin area  * Malleable  rigid thumb stay is adjustable for a custom fit  * Velcro closure for easy adjustment * Fits either left or right thumb *,,ADV21003,,14.25,20.35,Orthopedic Care,Thumb Braces &  Supports,0.000,0,10/03/2024,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,L3923,,,,,,,,,,,,,,
,Arm Sling  Deluxe  Universal Length,Indications: Arm injuries or instabilities and post-surgery * Envelope style * Can be folded to proper length to accommodate most patients * Soft foam neck pad for greater patient comfort * Slide buckle on strap for easy adjustment * Velcro closure *,,ADV2200,,8.50,15.45,Orthopedic Care,Arm Sling/Shoulder Immobilizer,0.000,0,10/09/2024,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Premium Arm Sling  Large,Our most popular arm sling * Hook and Loop Velcro closure * Easy to adjust * Thumb loop allows patient to relax hand * INDICATIONS: Arm injuries or instabilities post surgery,,ADV2217,,12.56,22.83,Orthopedic Care,Arm Sling/Shoulder Immobilizer,0.000,0,11/17/2023,12/31/2099,7,ADV2217.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,ADV2217.jpg,https://interlink.completemedical.com/usrimage/ADV2217.jpg,,,,,,,,
,Premium Arm Sling  X-Large,Our most popular arm sling * Hook and Loop Velcro closure * Easy to adjust * Thumb loop allows patient to relax hand * INDICATIONS: Arm injuries or instabilities post surgery,,ADV2218,,12.56,22.83,Orthopedic Care,Arm Sling/Shoulder Immobilizer,0.000,0,11/17/2023,12/31/2099,7,ADV2218.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,ADV2218.jpg,https://interlink.completemedical.com/usrimage/ADV2218.jpg,,,,,,,,
,Air Gel Tennis Elbow System Universal,Air tennis elbow system has three uniquely designed features * Air therapy pad helps reduce swelling * Foam tension pad to maximize compression and dissipate force * Fits either left or right forearm * Universal sizing *,,ADV2301,,14.25,25.90,Orthopedic Care,Golf-Tennis/ Elbow Supports,0.000,0,10/09/2024,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Neoprene Tennis Elbow w/Strap Medium  10 -11,Circumferential 2  Velcro strap * Provides warmth and equal compression * Velcro closure * Fits either left or right forearm * INDICATIONS: Tennis elbow syndrome  tendonitis  lateral/medial epicondylitis,,ADV2305,,15.73,28.61,Orthopedic Care,Golf-Tennis/ Elbow Supports,0.000,5,11/17/2023,12/31/2099,5,ADV2305.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,ADV2305.jpg,https://interlink.completemedical.com/usrimage/ADV2305.jpg,,,,,,,,
,Neoprene Tennis Elbow w/Strap Large 11 -12,Circumferential 2  Velcro strap * Provides warmth and equal compression * Velcro closure * Fits either left or right forearm * INDICATIONS: Tennis elbow syndrome  tendonitis  lateral/medial epicondylitis,,ADV2307,,15.73,28.61,Orthopedic Care,Golf-Tennis/ Elbow Supports,0.000,5,11/17/2023,12/31/2099,5,ADV2307.jpg,N,Y,0,0,0,0,0,0,0,0,,,,,,N,ADV2307.jpg,https://interlink.completemedical.com/usrimage/ADV2307.jpg,,,,,,,,
,Rib Belt Support  Male  Universal  Rib Circumf 24 -60,Constructed of 6  wide breathable elastic material * Male belt is straight while the female belt has contours around bust line *,,ADV2400,,14.25,25.90,Orthopedic Care,Rib Belts,0.000,0,10/11/2024,01/24/2025,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Rib Belt Support  Female  Universal  Rib Circumf 24 -60,Constructed of 6  wide breathable elastic material * Female belt has contours around bust line while the male belt is straight *,,ADV2410,,14.25,25.90,Orthopedic Care,Rib Belts,0.000,0,10/11/2024,01/24/2025,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Premium Abdominal Binder 3 Panel (9 Width) Waist 30-45,Waist Circumference 30 -45  * Form-fitting  breathable abdominal binders conform to different patient shapes for improved compression * Made of soft foam and high quality elastic * Velcro closure * Latex Free * HCPCS; N/A,,ADV2501,,15.65,28.45,Orthopedic Care,Abdominal Binders,0.000,0,02/02/2023,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Premium Abdominal Binder 3 Panel (9 Width) Waist 45-62,Waist Circumference 45 -62  * Form-fitting  breathable abdominal binders conform to different patient shapes for improved compression * Made of soft foam and high quality elastic * Velcro closure * Latex Free *,,ADV2502,,15.65,28.45,Orthopedic Care,Abdominal Binders,0.000,0,10/09/2024,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Premium Abdominal Binder 4 Panel (12 Width)Waist 30-45,Waist Circumference 30 -45  * Form-fitting  breathable abdominal binders conform to different patient shapes for improved compression * Made of soft foam and high quality elastic * Velcro closure * Latex Free * HCPCS; N/A,,ADV2503,,18.97,34.50,Orthopedic Care,Abdominal Binders,0.000,0,02/02/2023,01/24/2025,5,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Premium Abdominal Binder 4 Panel (12 Width)Waist 45-62,Waist Circumference 45 -62  * Form-fitting  breathable abdominal binders conform to different patient shapes for improved compression * Made of soft foam and high quality elastic * Velcro closure * Latex Free *,,ADV2504,,18.50,33.65,Orthopedic Care,Abdominal Binders,0.000,0,10/11/2024,01/24/2025,7,,N,Y,0,0,0,0,0,0,0,0,,,,,,N,,,,,,,,,,
,Elastic Slip-On Ankle Support Small  7 -8,Ankle Circumference 7 -8  * For Sub-acute ankle sprains  chronic ankle instabilities or prophylactic use * Durable lightweight knitted elastic provides support with flexibility * Unique seamless construction will not irritate skin * Open heel and toe provides easy slip on * Fits either left or right ankle * Suggested HCPC: L1901,,ADV2703,,9.95,18.09,Orthopedic Care,Ankle Braces & Supports,0.000,0,02/02/2023,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,L1901,,,,,,,,,,,,,,
,Elastic Slip-On Ankle Support Medium 8 -9,Ankle Circumference 8 -9  * For Sub-acute ankle sprains  chronic ankle instabilities or prophylactic use * Durable lightweight knitted elastic provides support with flexibility * Unique seamless construction will not irritate skin * Open heel and toe provides easy slip on * Fits either left or right ankle * Suggested HCPC: L1901,,ADV2705,,9.95,18.09,Orthopedic Care,Ankle Braces & Supports,0.000,0,02/02/2023,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,L1901,,,,,,,,,,,,,,
,Elastic Slip-On Ankle Support Large 9 -10,Ankle Circumference 9 -10  * For Sub-acute ankle sprains  chronic ankle instabilities or prophylactic use * Durable lightweight knitted elastic provides support with flexibility * Unique seamless construction will not irritate skin * Open heel and toe provides easy slip on * Fits either left or right ankle * Suggested HCPC: L1901,,ADV2707,,9.95,18.09,Orthopedic Care,Ankle Braces & Supports,0.000,0,02/02/2023,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,L1901,,,,,,,,,,,,,,
,Elastic Slip-On Ankle Support X-Large 10 -11,Ankle Circumference 10 -11  * For Sub-acute ankle sprains  chronic ankle instabilities or prophylactic use * Durable lightweight knitted elastic provides support with flexibility * Unique seamless construction will not irritate skin * Open heel and toe provides easy slip on * Fits either left or right ankle * Suggested HCPC: L1901,,ADV2708,,9.95,18.09,Orthopedic Care,Ankle Braces & Supports,0.000,0,02/02/2023,12/31/2099,7,,N,Y,0,0,0,0,0,0,0,0,,L1901,,,,,,,,,,,,,,
